num_removed_atoms,num_ZZ_atoms,num_AC_atoms,num_UA_atoms,num_SB_atoms,count_rim_atoms,num_incomplete_hexagons,num_5_membered_rings,max_dist,shape_factor,360_rot,60_clock_rot,120_clock_rot,180_clock_rot,240_clock_rot,300_clock_rot,time,ZZ_features,AC_features
22,8,6,0,1,37,20,3,16.40622355,0.705293985,1,0,0,0,0,0,216.0,0,0
15,9,2,0,1,31,15,3,14.01098511,0.7152218359999999,1,0,0,0,0,0,184.48,0,0
22,7,8,1,0,38,20,4,14.85238004,0.779081248,1,0,0,0,0,0,213.15,0,0
19,10,4,1,1,38,19,3,15.84140317,0.711945846,1,0,0,0,0,0,202.12,0,0
20,4,10,0,1,37,19,5,15.84140317,0.711945846,1,0,0,0,0,0,203.32,0,0
18,8,6,2,0,38,18,4,14.01098511,0.7834862659999999,1,0,0,0,0,0,196.58,0,0
20,4,12,0,0,38,19,5,15.84140317,0.711945846,1,0,0,0,0,0,201.57,0,0
16,10,2,0,1,33,16,3,15.84140317,0.653326315,1,0,0,0,0,0,181.64,0,0
13,5,8,2,0,36,15,4,14.01098511,0.7152218359999999,1,0,0,0,0,0,170.26,0,0
22,8,6,0,1,37,20,4,14.85238004,0.779081248,1,0,0,0,0,0,213.99,0,0
22,10,4,2,0,38,20,0,16.40622355,0.705293985,1,0,0,1,0,0,205.29,0,0
22,4,10,0,1,37,20,5,15.6486,0.739440639,1,0,0,0,0,0,214.0,0,0
21,7,10,0,0,40,20,3,18.16254095,0.637092068,1,0,0,0,0,0,201.94,0,0
17,6,8,1,0,36,17,3,15.84140317,0.6734333509999999,1,0,0,0,0,0,183.51,0,0
13,7,4,0,1,31,14,3,13.57073908,0.713385576,1,0,0,0,0,0,171.07,0,0
19,5,10,0,0,36,18,4,14.01098511,0.7834862659999999,1,0,0,0,0,0,196.47,0,0
22,10,4,0,1,37,20,3,14.85238004,0.779081248,1,0,0,0,0,0,211.56,0,0
13,7,4,0,1,31,14,4,13.57073908,0.713385576,1,0,0,0,0,0,165.47,0,0
19,7,8,0,0,36,18,5,15.84140317,0.6929572009999999,1,0,0,0,0,0,201.85,0,0
18,4,12,0,0,38,18,5,16.40622355,0.669100624,1,0,0,0,0,0,198.64,0,0
20,8,6,0,1,37,19,5,16.40622355,0.687435542,1,0,0,0,0,0,201.2,0,0
20,9,6,1,0,38,19,2,14.85238004,0.75935447,1,0,0,0,0,0,199.71,0,0
19,5,10,0,0,36,18,4,16.40622355,0.669100624,1,0,0,0,0,0,199.6,0,0
15,6,6,1,0,32,15,4,12.40193927,0.808015768,1,0,0,0,0,0,170.55,0,0
20,7,6,1,0,34,18,1,14.01098511,0.7834862659999999,1,0,0,0,0,0,192.65,0,0
20,8,4,0,1,33,18,3,14.01098511,0.7834862659999999,1,0,0,0,0,0,193.78,0,0
13,8,2,1,1,30,14,3,12.40193927,0.7806173940000001,1,0,0,0,0,0,165.44,0,0
21,7,6,0,1,35,19,2,14.01098511,0.8049556179999999,1,0,0,0,0,0,206.36,0,0
21,8,4,1,1,35,19,4,14.01098511,0.8049556179999999,1,0,0,0,0,0,198.77,0,0
13,5,8,0,0,32,14,4,14.01098511,0.690969938,1,0,0,0,0,0,167.75,0,0
21,8,6,1,0,36,19,2,14.85238004,0.75935447,1,0,0,0,0,0,199.34,0,0
22,7,8,1,1,41,21,5,17.82512691,0.665182513,1,0,0,0,0,0,221.46,0,0
22,10,6,0,0,38,20,2,15.84140317,0.7304410259999999,1,0,0,0,0,0,207.38,0,0
20,6,10,2,0,42,20,6,16.40622355,0.705293985,1,0,0,0,0,0,209.02,0,0
19,8,6,1,0,36,18,3,16.40622355,0.669100624,1,0,0,0,0,0,198.48,0,0
22,8,6,0,1,37,20,3,15.84140317,0.7304410259999999,1,0,0,0,0,0,215.8,0,0
21,8,6,1,1,39,20,5,15.84140317,0.7304410259999999,1,0,0,0,0,0,208.49,0,0
13,7,4,0,0,28,13,2,12.40193927,0.752221743,1,0,0,0,0,0,159.61,0,0
18,6,8,0,1,37,18,5,14.01098511,0.7834862659999999,1,0,0,0,0,0,202.08,0,0
16,10,4,0,0,34,16,3,15.84140317,0.653326315,1,0,0,0,0,0,180.88,0,0
17,8,6,1,0,36,17,3,14.85238004,0.71827742,1,0,0,0,0,0,192.13,0,0
21,11,2,0,1,35,19,3,16.40622355,0.687435542,1,0,0,0,0,0,195.44,0,0
14,8,6,0,0,34,15,4,15.84140317,0.632580484,1,0,0,0,0,0,175.35,0,0
13,6,8,1,0,36,15,5,15.6486,0.640374378,1,0,0,0,0,0,170.97,0,0
20,8,4,2,1,36,19,3,14.01098511,0.8049556179999999,1,0,0,0,0,0,203.06,0,0
22,9,6,1,0,38,20,2,15.84140317,0.7304410259999999,1,0,0,0,0,0,213.67,0,0
14,8,4,0,0,30,14,2,13.57073908,0.713385576,1,0,0,0,0,0,172.85,0,0
18,8,4,0,1,33,17,3,13.57073908,0.786112618,1,0,0,0,0,0,196.8,0,0
22,10,6,0,0,38,20,3,16.40622355,0.705293985,1,0,0,0,0,0,212.55,0,0
22,8,6,0,1,37,20,4,14.85238004,0.779081248,1,0,0,0,0,0,213.79,0,0
21,9,6,0,0,36,19,2,14.01098511,0.8049556179999999,1,0,0,0,0,0,212.23,0,0
15,6,8,1,0,36,16,4,15.6486,0.6613758129999999,1,0,0,0,0,0,186.31,0,0
19,8,4,1,1,35,18,4,14.01098511,0.7834862659999999,1,0,0,0,0,0,206.29,0,0
16,7,6,1,0,34,16,3,14.01098511,0.738677935,1,0,0,0,0,0,177.84,0,0
21,11,2,0,1,35,19,2,15.84140317,0.711945846,1,0,0,0,0,0,207.43,0,0
21,8,6,1,1,39,20,3,16.40622355,0.705293985,1,0,0,0,0,0,202.15,0,0
21,4,10,1,1,39,20,6,16.40622355,0.705293985,1,0,0,0,0,0,211.36,0,0
14,6,6,0,1,33,15,4,14.01098511,0.7152218359999999,1,0,0,0,0,0,178.59,0,0
20,7,6,1,1,37,19,5,15.84140317,0.711945846,1,0,0,0,0,0,200.02,0,0
20,9,4,1,0,34,18,3,14.85238004,0.7391013679999999,1,0,0,0,0,0,204.26,0,0
10,6,4,0,1,29,12,4,11.64448285,0.769722575,1,0,0,0,0,0,147.01,0,0
13,9,2,0,1,31,14,3,14.01098511,0.690969938,1,0,0,0,0,0,165.98,0,0
20,8,4,0,1,33,18,3,13.57073908,0.80890321,1,0,0,0,0,0,198.53,0,0
20,4,10,0,1,37,19,5,15.84140317,0.711945846,1,0,0,0,0,0,199.99,0,0
17,11,2,0,1,35,17,2,14.85238004,0.71827742,1,0,0,0,0,0,194.01,0,0
21,9,6,0,0,36,19,2,18.16254095,0.620960537,1,0,0,0,0,0,205.19,0,0
18,8,6,0,0,34,17,2,14.85238004,0.71827742,1,0,0,0,0,0,187.32,0,0
14,7,4,1,1,33,15,3,14.01098511,0.7152218359999999,1,0,0,0,0,0,172.81,0,0
17,7,4,0,1,31,16,1,13.57073908,0.76264126,1,0,0,0,0,0,176.34,0,0
12,9,2,1,0,30,13,3,12.40193927,0.752221743,1,0,0,0,0,0,162.23,0,0
21,7,8,0,0,36,19,3,15.6486,0.7207175840000001,1,0,0,0,0,0,207.99,0,0
18,10,2,0,1,33,17,3,14.85238004,0.71827742,1,0,0,0,0,0,190.64,0,0
22,10,2,0,1,33,19,2,14.01098511,0.8049556179999999,1,0,0,0,0,0,207.03,0,0
22,9,4,1,1,36,20,4,14.01098511,0.825867039,1,0,0,0,0,0,217.7,0,0
18,7,6,1,0,34,17,2,13.57073908,0.786112618,1,0,0,0,0,0,192.63,0,1
7,7,0,0,1,23,9,3,11.3808,0.682043808,1,0,0,0,0,0,119.41,0,0
18,7,6,1,1,36,18,4,14.01098511,0.7834862659999999,1,0,0,0,0,0,192.25,0,0
13,6,4,1,1,30,14,4,11.64448285,0.8313954029999999,1,0,0,0,0,0,172.64,0,0
17,9,6,0,0,36,17,3,16.40622355,0.650248925,1,0,0,0,0,0,189.66,0,0
19,9,4,0,1,35,18,4,15.6486,0.7014949840000001,1,0,0,0,0,0,191.41,0,0
17,8,4,1,0,32,16,2,12.40193927,0.834515097,1,0,0,0,0,0,188.75,0,0
18,8,8,0,0,38,18,4,23.67678273,0.463636235,1,0,0,0,0,0,207.97,0,0
19,5,8,0,1,35,18,5,14.01098511,0.7834862659999999,1,0,0,0,0,0,208.58,0,0
18,8,4,0,1,33,17,2,14.01098511,0.761411788,1,0,0,0,0,0,195.52,0,0
16,8,4,0,1,33,16,3,13.57073908,0.76264126,1,0,0,0,0,0,178.82,0,0
22,8,6,0,1,37,20,5,15.6486,0.739440639,1,0,0,0,0,0,217.37,0,0
17,7,6,0,0,32,16,2,13.57073908,0.76264126,1,0,0,0,0,0,190.88,0,0
18,8,4,0,1,33,17,3,14.85238004,0.71827742,1,0,0,0,0,0,191.8,0,0
17,7,4,0,1,31,16,3,12.40193927,0.834515097,1,0,0,0,0,0,182.29,0,0
20,8,6,0,0,34,18,1,14.01098511,0.7834862659999999,1,0,0,0,0,0,202.23,0,0
21,7,6,0,0,32,18,2,13.57073908,0.80890321,1,0,0,0,0,0,201.47,0,0
13,6,4,1,1,31,14,3,11.64448285,0.8313954029999999,1,0,0,0,0,0,165.23,0,0
22,6,10,0,0,38,20,4,16.40622355,0.705293985,1,0,0,0,0,0,211.14,0,0
22,11,2,1,2,40,21,4,16.40622355,0.722711274,1,0,0,0,0,0,220.91,0,0
13,8,4,1,0,32,14,3,14.01098511,0.690969938,1,0,0,0,0,0,166.74,0,0
14,8,2,0,1,29,14,2,12.40193927,0.7806173940000001,1,0,0,0,0,0,164.46,0,0
21,4,10,1,1,39,20,5,15.84140317,0.7304410259999999,1,0,0,0,0,0,203.52,0,0
20,8,6,0,0,34,18,2,14.01098511,0.7834862659999999,1,0,0,0,0,0,205.58,0,0
19,11,2,0,1,35,18,3,14.85238004,0.7391013679999999,1,0,0,0,0,0,195.89,0,0
21,6,10,1,0,40,20,4,16.40622355,0.705293985,1,0,0,0,0,0,209.04,0,0
21,9,4,0,1,35,19,3,14.01098511,0.8049556179999999,1,0,0,0,0,0,206.79,0,0
22,6,10,0,0,38,20,3,16.40622355,0.705293985,1,0,0,0,0,0,208.67,0,0
16,9,4,1,0,34,16,3,14.85238004,0.6968314520000001,1,0,0,0,0,0,188.38,0,0
17,9,4,0,1,35,17,3,21.52784439,0.495550276,1,0,0,0,0,0,182.77,0,0
21,8,6,1,1,38,20,2,14.85238004,0.779081248,1,0,0,0,0,0,216.17,0,0
18,8,4,0,1,33,17,4,14.01098511,0.761411788,1,0,0,0,0,0,192.38,0,0
20,9,4,1,1,37,19,4,14.85238004,0.75935447,1,0,0,0,0,0,210.4,0,0
15,5,8,0,0,32,15,4,14.01098511,0.7152218359999999,1,0,0,0,0,0,169.03,0,0
21,11,2,0,1,35,19,3,15.84140317,0.711945846,1,0,0,0,0,0,203.98,0,0
19,5,10,2,0,40,19,4,15.84140317,0.711945846,1,0,0,0,0,0,204.36,0,0
22,6,8,0,0,34,19,1,14.85238004,0.75935447,1,0,0,0,0,0,203.92,0,0
22,10,6,0,0,38,20,3,15.84140317,0.7304410259999999,1,0,0,0,0,0,214.64,0,0
18,8,4,0,1,33,17,3,14.85238004,0.71827742,1,0,0,0,0,0,183.94,0,0
21,8,6,1,1,39,20,4,17.82512691,0.6491516629999999,1,0,0,0,0,0,214.6,0,0
18,10,2,0,1,33,17,2,14.01098511,0.761411788,1,0,0,0,0,0,187.84,0,0
21,11,2,0,1,35,19,1,14.01098511,0.8049556179999999,1,0,0,0,0,0,197.08,0,0
22,10,6,0,0,38,20,3,18.81922908,0.614861041,1,0,0,0,0,0,215.1,0,0
13,2,10,1,0,32,14,5,11.64448285,0.8313954029999999,1,0,0,0,0,0,172.95,0,1
14,5,8,1,0,34,15,4,14.01098511,0.7152218359999999,1,0,0,0,0,0,180.07,0,0
20,8,4,0,1,33,18,3,14.01098511,0.7834862659999999,1,0,0,0,0,0,201.79,0,0
11,8,4,1,0,32,13,3,15.84140317,0.5889003820000001,1,0,0,0,0,0,157.38,0,0
21,9,4,2,0,36,19,3,14.01098511,0.8049556179999999,1,0,0,0,0,0,204.0,0,0
22,8,6,0,1,37,20,3,15.84140317,0.7304410259999999,1,0,0,0,0,0,208.18,0,0
